Message: WM_KEYDOWN, Key code: 8, Repeat: 1
8Message: WM_KEYUP, Key code: 8, Repeat: 1
Message: WM_KEYDOWN, Key code: 8, Repeat: 1
8Message: WM_KEYUP, Key code: 8, Repeat: 1
Message: WM_KEYDOWN, Key code: 8, Repeat: 1
8Message: WM_KEYUP, Key code: 8, Repeat: 1
Message: WM_KEYDOWN, Key code: 13, Repeat: 1
13Message: WM_KEYUP, Key code: 13, Repeat: 1
Message: WM_KEYDOWN, Key code: 13, Repeat: 1
13Message: WM_KEYUP, Key code: 13, Repeat: 1
Message: WM_KEYDOWN, Key code: 13, Repeat: 1
13Message: WM_KEYUP, Key code: 13, Repeat: 1
Message: WM_KEYDOWN, Key code: 32, Repeat: 1
32Message: WM_KEYUP, Key code: 32, Repeat: 1
Message: WM_KEYDOWN, Key code: 32, Repeat: 1
32Message: WM_KEYUP, Key code: 32, Repeat: 1
Message: WM_KEYDOWN, Key code: 32, Repeat: 1
32Message: WM_KEYUP, Key code: 32, Repeat: 1
Message: WM_KEYDOWN, Key code: 16, Repeat: 1
Message: WM_KEYUP, Key code: 16, Repeat: 1
Message: WM_KEYDOWN, Key code: 16, Repeat: 1
Message: WM_KEYUP, Key code: 16, Repeat: 1
Message: WM_KEYDOWN, Key code: 16, Repeat: 1
Message: WM_KEYUP, Key code: 16, Repeat: 1
Message: WM_KEYDOWN, Key code: 16, Repeat: 1
Message: WM_KEYUP, Key code: 16, Repeat: 1
Message: WM_KEYDOWN, Key code: 16, Repeat: 1
Message: WM_KEYUP, Key code: 16, Repeat: 1
Message: WM_KEYDOWN, Key code: 16, Repeat: 1
Message: WM_KEYUP, Key code: 16, Repeat: 1
Message: WM_KEYUP, Key code: 17, Repeat: 1
Message: WM_KEYUP, Key code: 116, Repeat: 1
